Language,Family,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,word14,word15,word16
Albanian,Albanian,gjithcka,keq,bark,galm,asht,dite,vdes,pi,vesh,ha,ve,sy,ate,peshk,pese,kembe
Arabic Tunisian,Semitic,ilkul,xiab,kirsh,akhal,adhum,yuum,met,ushrub,wdhin,akul,adhum,ain,baba,semica,xamsa,sak
Bahasa Malaysia,Malayo-Polynesian,semua,jahat,perut,hitam,tulang,hari,mati,minum,telinga,makan,telur,mata,ayah,ikan,lima,kaki
Bengali,Indic,sob,kharap,pet,kalo,harh,din,mora,khaoa,kan,khaoa,dim,chokh,baba,mach,panch,pa
Berber,Berber,akith,diri,aaboudh,averkan,ighass,as,amath,sew,amazough,atch,thamalalt,thit,vava,ahithiw,khamsa,akajar
Bulgarian,Slavic,vseki,los,korem,ceren,kost,den,umiram,pi,uho,jaim,jaice,oko,otec,riba,pet,noga
Byelorusian,Slavic,use,kepski,brukha,chrni,kostka,dzen',pamertsi,pits',vukha,estsi,yaika,voka,bats'ka,ryba,pyats,naga
Catalan,Romance,tot,dolent,panxa,negre,os,dia,morir,beure,orella,menjar,ou,ull,pare,peix,cinc,peu
Chinese Cantonese,Sino-Tibetan,chyun,waai,tou,hak,gwat,yat,sei,yam,yi,sik,dan,ngan,ba,yu,ng,geuk
Chines Mandarin,Sino-Tibetan,dou,bu hao,du zi,hei,si,tian,si,he,sheng,chi,dan,yen jin,fu qin,yu,wu,jiao
Croatian,Slavic,sve,los,trbuh,crn,kost,dan,umrijeti,piti,uho,jesti,jaje,oko,otac,riba,pet,stopalo
Croatian Cavaski,Slavic,se,los,trbuh,crn,kost,dan,umret,pit,uho,jist,jaje,oko,otac,riba,pet,taban
Croatian Kajkavski,Slavic,sve,los,trebuh,crn,kost,dan,umreti,piti,vuho,jesti,joje,oko,oca,riba,pet,stopalo
Czech,Slavic,vsechno,spatny,bricho,cerny,kost,den,umrit,piti,ucho,jisti,vejce,oko,otec,ryba,pet,noha
Danish,Germanic,all,slet,bug,sort,ben,dag,at doe,at drikke,ore,at spise,aeg,oje,fader,risk,fern,fod
Dutch,Germanic,geheel,slecht,buik,zwart,bot,dag,sterven,drinken,oor,eten,ei,oog,vader,vuur,vijf,voet
English,Germanic,all,bad,belly,black,bone,day,to die,to drink,ear,to eat,egg,eye,father,fish,five,foot
Esperanto,Esperanto,cio,malbona,ventro,nigra,osto,tago,morti,trinki,orelo,mangi,ovo,okulo,patro,fiso,kvin,piedo
Finnish,Uralic,kaikki,huono,vatsa,musta,luu,paiva,varjata,juoda,korva,syoda,muna,silma,isa,kala,viisi,jalka
French,Romance,tout,mauvais,ventre,noir,os,jour,mourir,boire,oreille,manger,oeuf,oeil,pere,poisson,cinq,pied
German,Germanic,alle,schlecht,bauch,schwarz,knochen,tag,sterben,trinken,ohr,essen,ei,auge,vater,fisch,fuenf,fuss
German Bavarian,Germanic,ail-zam,schlecht,wampn,schwoaz,gnocha,dag,schteam,saufn,oa-waschln,essn,oar,augn,fadda,fiesch,fimfe,fuass
German Swiss 1,Germanic,aui,schlaecht,buch,schwarz,chnoche,tag,staerbe,trinke,ohr,aesse,ei,oug,fatter,fisch,fuef,fuess
German Swiss 2,Germanic,alles,schlaecht,buch,schwarz,chnoche,dag,staerbe,drinke,ohr,aesse,ei,oug,fatter,fisch,fuef,fuess
Greek new,Hellenic,olos,kakos,kilya,mavros,kokalo,mera,petheno,pino,afti,troo,avgho,mati,pateras,psari,pende,podhi
Greek Old,Hellenic,holos,kakos,koilia,mavros,kokkalos,hemera,thneskein,pinein,us,trogein,oon,blemma,pater,opsarion,pente,pus
Hebrew,Semitic,kol,ra,beten,shachor,etsem,yom,lamut,lishtot,ozen,leechol,beytsah,a'yin,aba,dag,chamesh,regel
Hindi,Indic,sab,kharab,pet,kala,haddi,din,marna,pina,kan,khana,anda,ankh,bap,machli,panch,paer
Hungarian,Uralic,minden,rossz,has,fekete,csont,nap,hal,iszik,ful,eszik,tojas,szem,atya,hal,ot,lab
Indonesian,Malayo-Polynesian,semua,buruk,perut,hitam,tulang,hari,mati,minum,telinga,makan,telur,mata,ayah,ikan,lima,kaki
Italian,Romance,tutto,male,ventre,nero,osso,giorno,morire,bere,orecchio,mangiare,uovo,occhio,padre,pesce,cinque,piede
Italian Northern Lombardy,Romance,tu:t,catiiv,pansa,negher,oss,di',muri',bever,urecia,pacha',o:v,o:ch,pader,pe's,chinq,pe
Italian Venetii,Romance,tut,brut,panza,caif,os,di,morir,bever,recia,magnar,ovo,ocio,pare,pes,zinque,pie
Irish,Celtic,vile,olc,bolg,dubh,chaimh,la,doluidh,olaim,cluas,ithim,ubh,suil,athair,iasc,cuigear,cos
Japanese,Japonic,zenbu,warui,hara,kuroi,hone,hi,shinu,nomu,mimi,taberu,tamago,me,chichi,sakana,go,ashi
Kannada,Dravidian,yella,ketta,hoatti,kahri,yalabu,dina,satta,kudi,kivi,tinnu,tatti,kannu,appa,meena,aidu,paad
Latin,Latino,totus,malus,venter,niger,os,dies,rnori,bibere,auris,edere,ovum,oculus,pater,piscis,quinque,pes
Latvian,Baltic,visi,slikts,veders,melns,kauls,diena,nomirt,dzert,ausis,est,ola,acis,tevs,zivis,pieci,kaja
Lithuanian,Baltic,vise,blogas,pilvas,jaudas,kaulas,dena,numire,gerti,auses,valgit,kiesinis,akys,tevas,zuves,penke,koja
Macedonian,Slavic,site,los,stomak,crn,koska,den,umira,pie,uvo,jade,jajce,oko,tatko,riba,pet,stapalo
Malaylam,Dravidian,ellam,cheetta,vayaru,karuppu,ellu,divasam,marikkuka,kudikkuka,chhevy,thinnuka,mutta,kannu,acchan,meen,anju,kallu
Maltese,Semitic,kollox,trazin,zaqq,iswed,gtradma,gurnata,miet,xorob,widna,kiel,bajda,gtrajn,missier,trut,transa,sieq
Maori,Malayo-Polynesian,katoa,kino,hoopara,hiwahiwa,iwi,maeuao,hemo,inu,pokoraringa,haupa,heeki,kaikamo,paapara,ika,rima,wae
Marathi,Indic,sarva,waeet,poat,kaale,haad,diwas,marney,piney,kaan,khaney,undey,dohlaa,wa-dil,maasaa,paach,paaool
Norwegian,Germanic,alle,daarlig,mage,svart,ben,dag,aa doe,aa drikke,oere,aa spise,egg,oeye,far,risk,fem,fot
Odia,Indic,sabu,kharap,peta,kala,hada,dina,mariba,pieeba,kana,khaiba,anda,akhee,bapa,machchha,pancha,pada
Panjabi,Indic,sab,bura,pet,kala,hadi,din,marna,pina,kan,khana,anda,akh,bapa,ikan,lima,kaki
Persian,Iranian,hame,bad,shekam,siah,ostokhan,ruz,mordan,nushidan,gush,khordan,tokhm,chashm,pedar,mahi,panz,pa
Polish,Slavic,wszystko,zly,brzuch,czarny,kosc,dzien,umrzec,pic,ucho,jesc,jajko,oko,ojciec,ryba,piec,stopa
Portuguese,Romance,todo,mau,barriga,negro,osso,dia,morrer,beber,orelha,comer,ovo,olho,pai,peixe,cinco,pe
Rajasthani,Indic,sab,kharab,pet,kalo,haddi,din,marno,peeno,kon,khano,ando,onkh,baap,machli,ponch,pug
Romanian,Romance,tot,rau,burta,negru,os,zi,a muri,a bea,orechie,a minca,ou,ochi,tata,peste,cinci,picior
Russian,Slavic,vse,plokhoi,brjukho,cjornji,kost,den',umirat,pit,ukho,jest,jajtso,glaz,otjec,riba,pjat,noga
Sanskrit,Indic,sara,bura,paat,kala,haddi,din,marna,peena,kaan,khana,anda,aankh,baap,machli,paanch,pea'r
Serbian,Slavic,sve,los,trbuh,crn,kost,dan,umret,piti,uho,jesti,jaje,oko,otac,riba,pet,stopalo
Slovak,Slavic,vsetko,zly,brucho,cierny,kost,den,zomriet,pit,ucho,jest,vajce,oko,otec,ryba,pet,noha
Slovenian,Slavic,vse,slab,trebuh,crn,kost,dan,urnreti,piti,uho,jesti,jajce,oko,oce,riba,pet,noga
Spanish,Romance,todo,mal,vientre,negro,hueso,dia,morir,beber,oreja,comer,huevo,ojo,padre,pez,cinco,pie
Swahili,Bantu,ote,baya,tumbo,karipia,mfupa,siku,kufov,nywa,sikio,la,yai,jicho,baba,samaki,tano,mguu
Swedish,Germanic,alla,daolig,mage,svart,ben,dag,att doe,att dricka,oera,att aeta,aegg,oega,fader,risk,fern,fot
Tamil,Dravidian,ellaam,keduthy,vayiru,karuppu,elumbu,naal,irappu,kuditthal,kaathu,saapiduthal,muttai,kann,appaa,meen,ainthu,kaal
Telugu,Dravidian,antha,chedda,kadupu,nalla,yamuka,thinam,chavu,thagu,chevi,thinadam,kuddu,kallu,nanna,chapa,ayithu,kalu
Turkish,Turkic,butun,fena,karin,kara,kemik,gun,olmek,icmek,kulak,yemek,yumurta,goz,baba,balik,bes,ayak
Ukranian,Slavic,vse,pohane,zhevit,chorne,kistka,den',vmerte,pihte,ukho,yiste,jajtse,oko,bat'ko,rihba,pyat,noha
Welsh,Celtic,pawb,drwg,bola,du,asgwrn,dydd,marw,yfed,clust,bwyta,wy,llygad,tad,pisgodyn,pump,troed
